
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
| M0A cu=.5 | 0.1200 | 0.1199 | 0.0000 | 0.2667 | 384 | 380 | 0.179 | 55816 | 0 | 2559.2 | 0.151 | - |
| PIpA b=.5 | 0.0963 | 0.0964 | 0.0000 | 0.1431 | 273 | 194 | 0.456 | 3675 | 59163 | 24.9 | 0.273 | - |

### 场景 INT-1（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.1216 | 0.1220 | 0.0000 | 0.3187 | 576 | 386 | 0.826 | 26542 | 0 | 2228.4 | 0.005 | - |
| EVT(消融) | 0.0997 | 0.1001 | 0.0399 | 0.1601 | 192 | 85 | 0.414 | 0 | 0 | 0.0 | 0.120 | - |
| PIv b=0.5 | 0.1002 | 0.1003 | 0.0000 | 0.1809 | 284 | 199 | 0.639 | 507 | 0 | 31.1 | 0.260 | - |
| PIv b=1 | 0.0996 | 0.0998 | 0.0052 | 0.1333 | 288 | 192 | 0.916 | 180 | 0 | 0.0 | 0.284 | - |
| PIp b=0.5 | 0.0999 | 0.1000 | 0.0000 | 0.1809 | 284 | 198 | 0.626 | 0 | 726 | 0.0 | 0.257 | - |
| PIp b=1 | 0.1000 | 0.1002 | 0.0125 | 0.1469 | 288 | 192 | 0.938 | 0 | 426 | 0.0 | 0.287 | - |
| WB-PI kP=200 | 0.0991 | 0.0994 | 0.0118 | 0.1205 | 222 | 192 | 2.088 | 0 | 20825 | 0.0 | 0.295 | - |
| WB-PI中点 kP=200 | 0.0991 | 0.0994 | 0.0118 | 0.1205 | 218 | 192 | 2.091 | 0 | 20303 | 0.0 | 0.296 | - |
| PIpCI b=0.5 | 0.1003 | 0.1003 | 0.0000 | 0.1809 | 284 | 199 | 0.633 | 507 | 0 | 31.1 | 0.261 | - |
| ANCH | 0.0997 | 0.1001 | 0.0399 | 0.1601 | 192 | 85 | 0.414 | 0 | 0 | 0.0 | 0.120 | - |
| TTS | 0.1010 | 0.1013 | 0.0000 | 0.2667 | 384 | 139 | 0.470 | 1718 | 193 | 115.7 | 0.281 | - |
| BLEND c=0.25 | 0.0999 | 0.1000 | 0.0115 | 0.1681 | 192 | 96 | 0.164 | 0 | 0 | 0.0 | 0.116 | - |
| M0A cu=.5 | 0.1004 | 0.1002 | 0.0000 | 0.2667 | 576 | 474 | 0.599 | 23034 | 0 | 1671.6 | 0.005 | - |
| PIpA b=.5 | 0.0961 | 0.0961 | 0.0000 | 0.1417 | 288 | 194 | 0.484 | 0 | 49 | 0.0 | 0.273 | - |

### 恒等式核验（最大绝对误差，单位：违约计数；应为浮点舍入量级）
max over all (scenario, method) = 9.736e-10

用时 111.3 s
